발행일,발행부처,문서종류,제목(한글),제목(영문),원문링크
2025-07-01,"Transportation Department, Pipeline and Hazardous Materials Safety Administration",최종규칙(Rule),파이프라인 안전: 표준 업데이트-ASTM A381/A381M,Pipeline Safety: Standards Update-ASTM A381/A381M,https://www.federalregister.gov/documents/2025/07/01/2025-12073/pipeline-safety-standards-update-astm-a381a381m
2025-07-01,"Transportation Department, Pipeline and Hazardous Materials Safety Administration",최종규칙(Rule),파이프라인 안전: 표준 업데이트-ASTM A53/A53M,Pipeline Safety: Standards Update-ASTM A53/A53M,https://www.federalregister.gov/documents/2025/07/01/2025-12072/pipeline-safety-standards-update-astm-a53a53m
2025-07-01,"Transportation Department, Pipeline and Hazardous Materials Safety Administration",최종규칙(Rule),파이프라인 안전: 표준 업데이트 - API RP 2026,Pipeline Safety: Standards Update-API RP 2026,https://www.federalregister.gov/documents/2025/07/01/2025-12071/pipeline-safety-standards-update-api-rp-2026
2025-07-01,"Transportation Department, Pipeline and Hazardous Materials Safety Administration",최종규칙(Rule),파이프라인 안전: 표준 업데이트-API STD 620,Pipeline Safety: Standards Update-API STD 620,https://www.federalregister.gov/documents/2025/07/01/2025-12070/pipeline-safety-standards-update-api-std-620
2025-07-01,"Transportation Department, Pipeline and Hazardous Materials Safety Administration",최종규칙(Rule),파이프라인 안전: 표준 업데이트 - API RP 1170 및 API RP 1171,Pipeline Safety: Standards Update-API RP 1170 and API RP 1171,https://www.federalregister.gov/documents/2025/07/01/2025-12069/pipeline-safety-standards-update-api-rp-1170-and-api-rp-1171
2025-07-01,"Transportation Department, Pipeline and Hazardous Materials Safety Administration",최종규칙(Rule),파이프라인 안전: 표준 업데이트 - API 사양 6D,Pipeline Safety: Standards Update-API Spec 6D,https://www.federalregister.gov/documents/2025/07/01/2025-12068/pipeline-safety-standards-update-api-spec-6d
2025-07-01,"Transportation Department, Pipeline and Hazardous Materials Safety Administration",최종규칙(Rule),파이프라인 안전: 표준 업데이트-ASTM F1973,Pipeline Safety: Standards Update-ASTM F1973,https://www.federalregister.gov/documents/2025/07/01/2025-12063/pipeline-safety-standards-update-astm-f1973
2025-07-01,"Treasury Department, Foreign Assets Control Office",최종규칙(Rule),국제형사재판소 관련 제재 규정,International Criminal Court-Related Sanctions Regulations,https://www.federalregister.gov/documents/2025/07/01/2025-12036/international-criminal-court-related-sanctions-regulations
2025-07-01,Securities and Exchange Commission,최종규칙(Rule),브로커-딜러 고객 보호 규칙에 따라 일일 고객 계산 및 브로커-딜러 준비금 요건에 대한 준수 날짜 연장,Extension of Compliance Date for Required Daily Computation of Customer and Broker-Dealer Reserve Requirements Under the Broker-Dealer Customer Protection Rule,https://www.federalregister.gov/documents/2025/07/01/2025-12016/extension-of-compliance-date-for-required-daily-computation-of-customer-and-broker-dealer-reserve
2025-07-01,"Labor Department, Occupational Safety and Health Administration",최종규칙(Rule),건설기준-건설안전보건자문위원회,Construction Standards-Advisory Committee on Construction Safety and Health,https://www.federalregister.gov/documents/2025/07/01/2025-12011/construction-standards-advisory-committee-on-construction-safety-and-health
2025-07-01,"Labor Department, Office of the Assistant Secretary for Administration and Management",최종규칙(Rule),쓸모없는 보조금 및 계약 규정,Obsolete Grant and Contract Regulations,https://www.federalregister.gov/documents/2025/07/01/2025-11847/obsolete-grant-and-contract-regulations
2025-07-01,"Labor Department, Office of the Secretary of Labor",최종규칙(Rule),인력투자법의 차별금지 및 기회균등 조항의 폐지,Rescission of Nondiscrimination and Equal-Opportunity Provisions of the Workforce Investment Act,https://www.federalregister.gov/documents/2025/07/01/2025-11846/rescission-of-nondiscrimination-and-equal-opportunity-provisions-of-the-workforce-investment-act
2025-07-01,"Labor Department, Employment and Training Administration",최종규칙(Rule),인력투자법 규정 폐지,Rescission of Workforce Investment Act Regulations,https://www.federalregister.gov/documents/2025/07/01/2025-11742/rescission-of-workforce-investment-act-regulations
2025-07-01,"Labor Department, Employee Benefits Security Administration",최종규칙(Rule),"""사외적립자산"" 정의 삭제 - 보험회사 일반계정",Removal of Definition of “Plan Assets”-Insurance Company General Accounts,https://www.federalregister.gov/documents/2025/07/01/2025-11650/removal-of-definition-of-plan-assets-insurance-company-general-accounts
2025-07-01,"Labor Department, Employee Benefits Security Administration",최종규칙(Rule),연금 제공자 선택 - 개인 계좌 계획을 위한 면책 조항,Selection of Annuity Providers-Safe Harbor for Individual Account Plans,https://www.federalregister.gov/documents/2025/07/01/2025-11615/selection-of-annuity-providers-safe-harbor-for-individual-account-plans
2025-07-01,"Labor Department, Employee Benefits Security Administration",최종규칙(Rule),1974년 근로자 퇴직 소득 보장법 관련 해석 게시판 제거,Removal of Interpretive Bulletins Relating to the Employee Retirement Income Security Act of 1974,https://www.federalregister.gov/documents/2025/07/01/2025-11613/removal-of-interpretive-bulletins-relating-to-the-employee-retirement-income-security-act-of-1974
2025-06-30,National Railroad Passenger Corporation,최종규칙(Rule),정보자유법 프로그램,Freedom of Information Act Program,https://www.federalregister.gov/documents/2025/06/30/2025-12035/freedom-of-information-act-program
2025-06-30,"Homeland Security Department, Coast Guard",최종규칙(Rule),안전 구역; 포트 디트로이트 존 선장의 연례 행사,Safety Zones; Annual Events in the Captain of the Port Detroit Zone,https://www.federalregister.gov/documents/2025/06/30/2025-12033/safety-zones-annual-events-in-the-captain-of-the-port-detroit-zone
2025-06-30,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),"표준 계기 접근 절차, 이륙 최소값 및 장애물 출발 절차 기타 수정 사항","Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments",https://www.federalregister.gov/documents/2025/06/30/2025-12025/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
2025-06-30,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),"표준 계기 접근 절차, 이륙 최소값 및 장애물 출발 절차 기타 수정 사항","Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments",https://www.federalregister.gov/documents/2025/06/30/2025-12024/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
2025-06-30,"Treasury Department, Financial Crimes Enforcement Network",최종규칙(Rule),"CIBanco S.A., Institución De Banca Multiple과 관련된 특정 자금 송금을 금지하는 특별 조치 부과","Imposition of Special Measure Prohibiting Certain Transmittals of Funds Involving CIBanco S.A., Institución De Banca Multiple",https://www.federalregister.gov/documents/2025/06/30/2025-11993/imposition-of-special-measure-prohibiting-certain-transmittals-of-funds-involving-cibanco-sa
2025-06-30,"Treasury Department, Financial Crimes Enforcement Network",최종규칙(Rule),"Vector Casa de Bolsa, S.A. de C.V.와 관련된 특정 자금 송금을 금지하는 특별 조치 부과","Imposition of Special Measure Prohibiting Certain Transmittals of Funds Involving Vector Casa de Bolsa, S.A. de C.V.",https://www.federalregister.gov/documents/2025/06/30/2025-11991/imposition-of-special-measure-prohibiting-certain-transmittals-of-funds-involving-vector-casa-de
2025-06-30,"Treasury Department, Financial Crimes Enforcement Network",최종규칙(Rule),"Intercam Banco S.A., Institución de Banca Multiple과 관련된 특정 자금 송금을 금지하는 특별 조치 부과","Imposition of Special Measure Prohibiting Certain Transmittals of Funds Involving Intercam Banco S.A., Institución de Banca Multiple",https://www.federalregister.gov/documents/2025/06/30/2025-11990/imposition-of-special-measure-prohibiting-certain-transmittals-of-funds-involving-intercam-banco-sa
2025-06-30,Environmental Protection Agency,최종규칙(Rule),서류축소법에 따른 OMB 승인 목록에 대한 기술 개정,Technical Amendment to the List of OMB Approvals Under the Paperwork Reduction Act,https://www.federalregister.gov/documents/2025/06/30/2025-11573/technical-amendment-to-the-list-of-omb-approvals-under-the-paperwork-reduction-act
2025-06-30,Environmental Protection Agency,최종규칙(Rule),새로운 고정 배출원에 대한 성능 표준 및 기존 배출원에 대한 배출 지침: 기타 고형 폐기물 소각 시설 검토,Standards of Performance for New Stationary Sources and Emission Guidelines for Existing Sources: Other Solid Waste Incineration Units Review,https://www.federalregister.gov/documents/2025/06/30/2025-11446/standards-of-performance-for-new-stationary-sources-and-emission-guidelines-for-existing-sources
2025-06-27,"Homeland Security Department, U.S. Immigration and Customs Enforcement, Justice Department, Executive Office for Immigration Review",최종규칙(Rule),특정 이민 관련 위반에 대한 민사 처벌의 부과 및 징수,Imposition and Collection of Civil Penalties for Certain Immigration-Related Violations,https://www.federalregister.gov/documents/2025/06/27/2025-11965/imposition-and-collection-of-civil-penalties-for-certain-immigration-related-violations
2025-06-27,"Homeland Security Department, Coast Guard",최종규칙(Rule),"안전 구역; 항만 선장, 퓨젯사운드 책임 지역 내 연례 불꽃놀이","Safety Zones; Annual Fireworks Displays Within the Captain of the Port, Puget Sound Area of Responsibility",https://www.federalregister.gov/documents/2025/06/27/2025-11922/safety-zones-annual-fireworks-displays-within-the-captain-of-the-port-puget-sound-area-of
2025-06-27,"Interior Department, Surface Mining Reclamation and Enforcement Office",최종규칙(Rule),펜실베니아 규제 프로그램,Pennsylvania Regulatory Program,https://www.federalregister.gov/documents/2025/06/27/2025-11907/pennsylvania-regulatory-program
2025-06-27,"Homeland Security Department, Coast Guard",최종규칙(Rule),"안전지대; 이리 호수, 레이크우드, 오하이오","Safety Zone; Lake Erie, Lakewood, OH",https://www.federalregister.gov/documents/2025/06/27/2025-11902/safety-zone-lake-erie-lakewood-oh
2025-06-27,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),알래스카 외곽의 배타적경제수역 어업; 베링해와 알류샨 열도 관리 지역의 다양한 저어종,Fisheries of the Exclusive Economic Zone Off Alaska; Several Groundfish Species in the Bering Sea and Aleutian Islands Management Area,https://www.federalregister.gov/documents/2025/06/27/2025-11867/fisheries-of-the-exclusive-economic-zone-off-alaska-several-groundfish-species-in-the-bering-sea-and
2025-06-27,Environmental Protection Agency,최종규칙(Rule),항공 계획 승인; 아이다호; 참조로 통합된 자료 업데이트,Air Plan Approval; Idaho; Update to Materials Incorporated by Reference,https://www.federalregister.gov/documents/2025/06/27/2025-11824/air-plan-approval-idaho-update-to-materials-incorporated-by-reference
2025-06-26,Executive Office of the President,대통령문서,텍사스 주 이글패스 시가 카미노 레알 국제교(Camino Real International Bridge) 육지 입국항에서 차량 및 보행자 국경 통과를 확장하고 지속적으로 유지 및 운영할 수 있도록 승인하는 대통령 허가,"Presidential Permit Authorizing the City of Eagle Pass, Texas, To Expand and Continue To Maintain and Operate a Vehicular and Pedestrian Border Crossing at the Camino Real International Bridge Land Port of Entry",https://www.federalregister.gov/documents/2025/06/26/2025-11905/presidential-permit-authorizing-the-city-of-eagle-pass-texas-to-expand-and-continue-to-maintain-and
2025-06-26,"Homeland Security Department, Coast Guard",최종규칙(Rule),"안전지대; 밀워키 에어 앤 워터 쇼(밀워키, 위스콘신주)","Safety Zone; Milwaukee Air and Water Show, Milwaukee, WI",https://www.federalregister.gov/documents/2025/06/26/2025-11839/safety-zone-milwaukee-air-and-water-show-milwaukee-wi
2025-06-26,"Agriculture Department, Food Safety and Inspection Service",최종규칙(Rule),주 육류 또는 가금류 검사 프로그램이 있거나 없는 주의 목록 발행 방법,Publication Method of Lists of States With and Without State Meat or Poultry Inspection Programs,https://www.federalregister.gov/documents/2025/06/26/2025-11816/publication-method-of-lists-of-states-with-and-without-state-meat-or-poultry-inspection-programs
2025-06-26,Education Department,최종규칙(Rule),혁신적인 재활 훈련 프로그램,Innovative Rehabilitation Training Program,https://www.federalregister.gov/documents/2025/06/26/2025-11807/innovative-rehabilitation-training-program
2025-06-26,"Homeland Security Department, Coast Guard",최종규칙(Rule),특별지방규정; 해양 이벤트; 연간 베이뷰 맥키노 레이스(미시간주 휴런호),"Special Local Regulation; Marine Events; Annual Bayview Mackinac Race, Lake Huron, MI",https://www.federalregister.gov/documents/2025/06/26/2025-11802/special-local-regulation-marine-events-annual-bayview-mackinac-race-lake-huron-mi
2025-06-26,"Health and Human Services Department, Food and Drug Administration",최종규칙(Rule),의료기기; 임상 화학 및 임상 독성학 장치; 근이영양증 신생아 선별검사의 분류,Medical Devices; Clinical Chemistry and Clinical Toxicology Devices; Classification of the Muscular Dystrophy Newborn Screening Test,https://www.federalregister.gov/documents/2025/06/26/2025-11796/medical-devices-clinical-chemistry-and-clinical-toxicology-devices-classification-of-the-muscular
2025-06-26,"Health and Human Services Department, Food and Drug Administration",최종규칙(Rule),의료기기; 면역학 및 미생물학 장치; 중추신경계 감염에 대한 단순 포진 바이러스 핵산 기반 분석의 분류,Medical Devices; Immunology and Microbiology Devices; Classification of the Herpes Simplex Virus Nucleic Acid-Based Assay for Central Nervous System Infections,https://www.federalregister.gov/documents/2025/06/26/2025-11794/medical-devices-immunology-and-microbiology-devices-classification-of-the-herpes-simplex-virus
2025-06-26,"Health and Human Services Department, Food and Drug Administration",최종규칙(Rule),의료기기; 혈액학 및 병리학 장치; 혈액 악성 종양 환자의 염색체 이상에 대한 형광 In Situ Hybridization 기반 검출 분류,Medical Devices; Hematology and Pathology Devices; Classification of the Fluorescence In Situ Hybridization-Based Detection of Chromosomal Abnormalities From Patients With Hematologic Malignancies,https://www.federalregister.gov/documents/2025/06/26/2025-11793/medical-devices-hematology-and-pathology-devices-classification-of-the-fluorescence-in-situ
2025-06-26,"Health and Human Services Department, Food and Drug Administration",최종규칙(Rule),의료기기; 방사선 기기; X선 감쇠용 크림의 분류,Medical Devices; Radiology Devices; Classification of the Cream for X-Ray Attenuation,https://www.federalregister.gov/documents/2025/06/26/2025-11791/medical-devices-radiology-devices-classification-of-the-cream-for-x-ray-attenuation
2025-06-26,"Health and Human Services Department, Food and Drug Administration",최종규칙(Rule),의료기기; 임상 화학 및 임상 독성학 장치; 리소좀 축적 장애 신생아 선별검사 시스템의 분류,Medical Devices; Clinical Chemistry and Clinical Toxicology Devices; Classification of the Lysosomal Storage Disorder Newborn Screening Test System,https://www.federalregister.gov/documents/2025/06/26/2025-11781/medical-devices-clinical-chemistry-and-clinical-toxicology-devices-classification-of-the-lysosomal
2025-06-26,Environmental Protection Agency,최종규칙(Rule),성층권 오존 보호; CFR 교정,Protection of Stratospheric Ozone; CFR Correction,https://www.federalregister.gov/documents/2025/06/26/2025-11780/protection-of-stratospheric-ozone-cfr-correction
2025-06-26,"Interior Department, Fish and Wildlife Service",최종규칙(Rule),"해양 포유류; 특정 활동 중 북극곰을 우연히 포획하는 행위; 노스 슬로프, 알래스카","Marine Mammals; Incidental Take of Polar Bears During Specified Activities; North Slope, Alaska",https://www.federalregister.gov/documents/2025/06/26/2025-11778/marine-mammals-incidental-take-of-polar-bears-during-specified-activities-north-slope-alaska
2025-06-26,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),특정 활동에 부수적으로 발생하는 해양 포유류에 대한 정보; 오레곤 및 캘리포니아 해안을 따라 암석이 많은 조간대 모니터링 조사에 부수적으로 해양 포유류 수집,Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveys Along the Oregon and California Coasts,https://www.federalregister.gov/documents/2025/06/26/2025-11748/takes-of-marine-mammals-incidental-to-specified-activities-taking-marine-mammals-incidental-to-rocky
2025-06-26,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),미국 북동부의 어업; 동북 다종 어업; 2025년 소규모 메시 다종 사양,Fisheries of the Northeastern United States; Northeast Multispecies Fishery; 2025 Small-Mesh Multispecies Specifications,https://www.federalregister.gov/documents/2025/06/26/2025-11727/fisheries-of-the-northeastern-united-states-northeast-multispecies-fishery-2025-small-mesh
2025-06-26,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),"매그너슨-스티븐스법 조항; 서해안 주 외 어업; 태평양 연안 해저 어업; 2025년 태평양 화대 미국 총 허용 어획량, 2025년 부족 할당, 2025년 부수적 설정 및 2025년 비 부족 어업에 대한 연간 사양","Magnuson-Stevens Act Provisions; Fisheries Off West Coast States; Pacific Coast Groundfish Fishery; 2025 Pacific Whiting U.S. Total Allowable Catch, 2025 Tribal Allocation, 2025 Incidental Set-Aside, and Annual Specifications for 2025 Non-Tribal Fisheries",https://www.federalregister.gov/documents/2025/06/26/2025-11726/magnuson-stevens-act-provisions-fisheries-off-west-coast-states-pacific-coast-groundfish-fishery
2025-06-26,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),미국 북동부의 어업; 중부 대서양 블루라인 타일피시(Blueline Tilefish) 및 골든 타일피시(Golden Tilefish) 어업; 최종 2025-2027 Golden Tilefish 사양 및 2025 Blueline Tilefish 사양,Fisheries of the Northeastern United States; Mid-Atlantic Blueline Tilefish and Golden Tilefish Fisheries; Final 2025-2027 Golden Tilefish Specifications and 2025 Blueline Tilefish Specifications,https://www.federalregister.gov/documents/2025/06/26/2025-11725/fisheries-of-the-northeastern-united-states-mid-atlantic-blueline-tilefish-and-golden-tilefish
2025-06-26,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),미국 북동부의 어업; 2025년 흑해농어 휴양 관리 대책,Fisheries of the Northeastern United States; 2025 Black Sea Bass Recreational Management Measures,https://www.federalregister.gov/documents/2025/06/26/2025-11710/fisheries-of-the-northeastern-united-states-2025-black-sea-bass-recreational-management-measures
2025-06-25,"Treasury Department, Internal Revenue Service",최종규칙(Rule),유산세 종결 서신 사용자 수수료 업데이트,Estate Tax Closing Letter User Fee Update,https://www.federalregister.gov/documents/2025/06/25/C2-2025-08928/estate-tax-closing-letter-user-fee-update
2025-06-25,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),"푸에르토리코, 세인트 크로이, 세인트 토마스 및 세인트 존의 어업 관리 계획; 수정안 3","Fishery Management Plans of Puerto Rico, St. Croix, and St. Thomas and St. John; Amendment 3",https://www.federalregister.gov/documents/2025/06/25/2025-11714/fishery-management-plans-of-puerto-rico-st-croix-and-st-thomas-and-st-john-amendment-3
2025-06-25,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),서해안 주 외 어업; 서해안 연어 ​​어업; 2025 사양 및 관리 조치; 보정,Fisheries Off West Coast States; West Coast Salmon Fisheries; 2025 Specifications and Management Measures; Correction,https://www.federalregister.gov/documents/2025/06/25/2025-11713/fisheries-off-west-coast-states-west-coast-salmon-fisheries-2025-specifications-and-management
2025-06-25,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),푸에르토리코 어업 관리 계획; Triggerfish 관리 조치,Fishery Management Plan of Puerto Rico; Triggerfish Management Measures,https://www.federalregister.gov/documents/2025/06/25/2025-11712/fishery-management-plan-of-puerto-rico-triggerfish-management-measures
2025-06-25,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),서해안의 태평양 가자미 어업; 2A구역 태평양광어를 대상으로 하는 상업어업에 대한 관리조치,Pacific Halibut Fisheries of the West Coast; Management Measures for the Area 2A Pacific Halibut Directed Commercial Fishery,https://www.federalregister.gov/documents/2025/06/25/2025-11654/pacific-halibut-fisheries-of-the-west-coast-management-measures-for-the-area-2a-pacific-halibut
2025-06-25,Education Department,최종규칙(Rule),국가 데이터 수집에 대한 기술 지원 - IDEA 데이터 관리 센터,Technical Assistance on State Data Collection-IDEA Data Management Center,https://www.federalregister.gov/documents/2025/06/25/2025-11608/technical-assistance-on-state-data-collection-idea-data-management-center
2025-06-25,Health and Human Services Department,최종규칙(Rule),환자 보호 및 저렴한 진료법; 시장 무결성 및 경제성,Patient Protection and Affordable Care Act; Marketplace Integrity and Affordability,https://www.federalregister.gov/documents/2025/06/25/2025-11606/patient-protection-and-affordable-care-act-marketplace-integrity-and-affordability
2025-06-25,Education Department,최종규칙(Rule),"주 데이터 수집에 대한 기술 지원 - 정확한 IDEA 파트 B 및 파트 C 재정 데이터를 수집, 보고, 분석 및 사용하기 위한 주정부 역량을 향상시키기 위한 국가 기술 지원 센터","Technical Assistance on State Data Collection-National Technical Assistance Center To Improve State Capacity To Collect, Report, Analyze, and Use Accurate IDEA Part B and Part C Fiscal Data",https://www.federalregister.gov/documents/2025/06/25/2025-11599/technical-assistance-on-state-data-collection-national-technical-assistance-center-to-improve-state
2025-06-24,"Treasury Department, Internal Revenue Service",최종규칙(Rule),유산세 종결 서신 사용자 수수료 업데이트,Estate Tax Closing Letter User Fee Update,https://www.federalregister.gov/documents/2025/06/24/C1-2025-08928/estate-tax-closing-letter-user-fee-update
2025-06-24,Executive Office of the President,대통령문서,서부발칸반도에 대한 국가비상사태 지속,Continuation of the National Emergency With Respect to the Western Balkans,https://www.federalregister.gov/documents/2025/06/24/2025-11684/continuation-of-the-national-emergency-with-respect-to-the-western-balkans
2025-06-24,Executive Office of the President,대통령문서,대북 국가비상사태 지속,Continuation of the National Emergency With Respect to North Korea,https://www.federalregister.gov/documents/2025/06/24/2025-11683/continuation-of-the-national-emergency-with-respect-to-north-korea
2025-06-24,Executive Office of the President,대통령문서,TikTok 시행 지연 추가 연장,Further Extending the TikTok Enforcement Delay,https://www.federalregister.gov/documents/2025/06/24/2025-11682/further-extending-the-tiktok-enforcement-delay
2025-06-24,Environmental Protection Agency,최종규칙(Rule),"페피노 모자이크 바이러스, 균주 LP, 분리 VX1 및 페피노 모자이크 바이러스, 균주 CH2, 분리 VC1; 공차 요건 면제","Pepino Mosaic Virus, Strain LP, Isolate VX1 and Pepino Mosaic Virus, Strain CH2, Isolate VC1; Exemptions From the Requirement of a Tolerance",https://www.federalregister.gov/documents/2025/06/24/2025-11590/pepino-mosaic-virus-strain-lp-isolate-vx1-and-pepino-mosaic-virus-strain-ch2-isolate-vc1-exemptions
2025-06-24,"Homeland Security Department, Coast Guard",최종규칙(Rule),안전 구역; 항만 동부 오대호 지역 선장의 연례 행사,Safety Zones; Annual Events in the Captain of the Port Eastern Great Lakes Zone,https://www.federalregister.gov/documents/2025/06/24/2025-11586/safety-zones-annual-events-in-the-captain-of-the-port-eastern-great-lakes-zone
2025-06-24,"Homeland Security Department, Coast Guard",최종규칙(Rule),"안전지대; 시카고 항구, 네이비 피어 사우스이스트, 시카고, 일리노이","Safety Zone; Chicago Harbor, Navy Pier Southeast, Chicago, IL",https://www.federalregister.gov/documents/2025/06/24/2025-11584/safety-zone-chicago-harbor-navy-pier-southeast-chicago-il
2025-06-24,Personnel Management Office,최종규칙(Rule),연방 서비스의 수습 기간 강화,Strengthening Probationary Periods in the Federal Service,https://www.federalregister.gov/documents/2025/06/24/2025-11576/strengthening-probationary-periods-in-the-federal-service
2025-06-24,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),서해안 주 외 어업; 서해안 연어 ​​어업의 수정; 인시즌 액션 #20,Fisheries Off West Coast States; Modification of the West Coast Salmon Fisheries; Inseason Action #20,https://www.federalregister.gov/documents/2025/06/24/2025-11554/fisheries-off-west-coast-states-modification-of-the-west-coast-salmon-fisheries-inseason-action-20
2025-06-24,Nuclear Regulatory Commission,최종규칙(Rule),수수료 일정; 2025 회계연도 수수료 회수,Fee Schedules; Fee Recovery for Fiscal Year 2025,https://www.federalregister.gov/documents/2025/06/24/2025-11544/fee-schedules-fee-recovery-for-fiscal-year-2025
2025-06-23,Executive Office of the President,대통령문서,벙커힐 전투 250주년,250th Anniversary of the Battle of Bunker Hill,https://www.federalregister.gov/documents/2025/06/23/2025-11555/250th-anniversary-of-the-battle-of-bunker-hill
2025-06-23,"Homeland Security Department, Coast Guard",최종규칙(Rule),"도개교 운영 규정; 이스트 리버, 그린베이, 위스콘신","Drawbridge Operation Regulation; East River, Green Bay, WI",https://www.federalregister.gov/documents/2025/06/23/2025-11495/drawbridge-operation-regulation-east-river-green-bay-wi
2025-06-23,"Homeland Security Department, Coast Guard",최종규칙(Rule),"특별지방규정; 엘리자베스 강, 서부 지점, 포츠머스, 버지니아","Special Local Regulation; Elizabeth River, Western Branch, Portsmouth, VA",https://www.federalregister.gov/documents/2025/06/23/2025-11494/special-local-regulation-elizabeth-river-western-branch-portsmouth-va
2025-06-23,"Homeland Security Department, Coast Guard",최종규칙(Rule),"안전지대; Monongahela River MM 68-68.5, 라이세스 랜딩, PA","Safety Zone; Monongahela River MM 68-68.5, Rices Landing, PA",https://www.federalregister.gov/documents/2025/06/23/2025-11493/safety-zone-monongahela-river-mm-68-685-rices-landing-pa
2025-06-23,"Homeland Security Department, Coast Guard",최종규칙(Rule),"안전지대; 오하이오 강 MM 31-32, 산업, PA","Safety Zone; Ohio River MM 31-32, Industry, PA",https://www.federalregister.gov/documents/2025/06/23/2025-11492/safety-zone-ohio-river-mm-31-32-industry-pa
2025-06-23,Environmental Protection Agency,최종규칙(Rule),특정 화학 물질에 대한 중요한 새로운 사용 규칙(24-2.5e),Significant New Use Rules on Certain Chemical Substances (24-2.5e),https://www.federalregister.gov/documents/2025/06/23/2025-11489/significant-new-use-rules-on-certain-chemical-substances-24-25e
2025-06-23,Executive Office of the President,대통령문서,미국-영국 경제 번영 협정의 일반 조건 이행,Implementing the General Terms of the United States of America-United Kingdom Economic Prosperity Deal,https://www.federalregister.gov/documents/2025/06/23/2025-11473/implementing-the-general-terms-of-the-united-states-of-america-united-kingdom-economic-prosperity
2025-06-23,Federal Retirement Thrift Investment Board,최종규칙(Rule),퇴직 라이프사이클 자금과 관련된 오류 수정 방법,Method of Correcting Errors Involving Retired Lifecycle Funds,https://www.federalregister.gov/documents/2025/06/23/2025-11471/method-of-correcting-errors-involving-retired-lifecycle-funds
2025-06-23,Railroad Retirement Board,최종규칙(Rule),국가비상사태 시 운영계획 권한 위임 및 계승 계통,Plan of Operation During a National Emergency; Delegations of Authority and Lines of Succession,https://www.federalregister.gov/documents/2025/06/23/2025-11467/plan-of-operation-during-a-national-emergency-delegations-of-authority-and-lines-of-succession
2025-06-23,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),알래스카 외곽의 배타적경제수역 어업; 알래스카 만 중앙 규제 지역에서 지그 기어를 사용하는 선박의 태평양 대구,Fisheries of the Exclusive Economic Zone Off Alaska; Pacific Cod by Vessels Using Jig Gear in the Central Regulatory Area of the Gulf of Alaska,https://www.federalregister.gov/documents/2025/06/23/2025-11459/fisheries-of-the-exclusive-economic-zone-off-alaska-pacific-cod-by-vessels-using-jig-gear-in-the
2025-06-23,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),감항성 지침; Bell Textron Canada Limited 헬리콥터,Airworthiness Directives; Bell Textron Canada Limited Helicopters,https://www.federalregister.gov/documents/2025/06/23/2025-11449/airworthiness-directives-bell-textron-canada-limited-helicopters
2025-06-23,Environmental Protection Agency,최종규칙(Rule),트리클로로에틸렌(TCE)의 특정 조항에 대한 효력 연기 연장; 독성물질관리법(TSCA)에 따른 규제,Extension of Postponement of Effectiveness for Certain Provisions of Trichloroethylene (TCE); Regulation Under the Toxic Substances Control Act (TSCA),https://www.federalregister.gov/documents/2025/06/23/2025-11437/extension-of-postponement-of-effectiveness-for-certain-provisions-of-trichloroethylene-tce
2025-06-23,"Transportation Department, Pipeline and Hazardous Materials Safety Administration",최종규칙(Rule),위험 물질: 철도를 이용한 액화천연가스,Hazardous Materials: Liquefied Natural Gas by Rail,https://www.federalregister.gov/documents/2025/06/23/2025-11436/hazardous-materials-liquefied-natural-gas-by-rail
2025-06-20,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),"E 등급 공역의 수정; 옐로스톤 지역 공항, 코디, 와이오밍","Modification of Class E Airspace; Yellowstone Regional Airport, Cody, WY",https://www.federalregister.gov/documents/2025/06/20/2025-11391/modification-of-class-e-airspace-yellowstone-regional-airport-cody-wy
2025-06-20,Postal Service,최종규칙(Rule),국제 우편 서비스: 가격 변경,International Mailing Services: Price Changes,https://www.federalregister.gov/documents/2025/06/20/2025-11390/international-mailing-services-price-changes
