발행일,문서종류,관련부처,제목(한글),제목(영문),원문링크
2025-07-23,Presidential Document,Executive Office of the President,멸균 의료 장비와 관련하여 미국 보안을 촉진하기 위한 특정 고정 소스에 대한 규제 완화,Regulatory Relief for Certain Stationary Sources To Promote American Security With Respect to Sterile Medical Equipment,https://www.federalregister.gov/documents/2025/07/23/2025-13924/regulatory-relief-for-certain-stationary-sources-to-promote-american-security-with-respect-to
2025-07-23,Presidential Document,Executive Office of the President,미국 철광석 처리 보안을 촉진하기 위한 특정 고정 소스에 대한 규제 완화,Regulatory Relief for Certain Stationary Sources To Promote American Iron Ore Processing Security,https://www.federalregister.gov/documents/2025/07/23/2025-13923/regulatory-relief-for-certain-stationary-sources-to-promote-american-iron-ore-processing-security
2025-07-23,Presidential Document,Executive Office of the President,미국 화학 제조 보안을 촉진하기 위한 특정 고정 소스에 대한 규제 완화,Regulatory Relief for Certain Stationary Sources To Promote American Chemical Manufacturing Security,https://www.federalregister.gov/documents/2025/07/23/2025-13890/regulatory-relief-for-certain-stationary-sources-to-promote-american-chemical-manufacturing-security
2025-07-23,Presidential Document,Executive Office of the President,미국 에너지 증진을 위한 특정 고정 에너지원에 대한 규제 완화,Regulatory Relief for Certain Stationary Sources To Further Promote American Energy,https://www.federalregister.gov/documents/2025/07/23/2025-13883/regulatory-relief-for-certain-stationary-sources-to-further-promote-american-energy
2025-07-10,Presidential Document,Executive Office of the President,상호관세율 수정 확대,Extending the Modification of the Reciprocal Tariff Rates,https://www.federalregister.gov/documents/2025/07/10/2025-12962/extending-the-modification-of-the-reciprocal-tariff-rates
2025-07-10,Presidential Document,Executive Office of the President,신뢰할 수 없는 외국 통제 에너지원에 대한 시장 왜곡 보조금 종료,"Ending Market Distorting Subsidies for Unreliable, Foreign-Controlled Energy Sources",https://www.federalregister.gov/documents/2025/07/10/2025-12961/ending-market-distorting-subsidies-for-unreliable-foreign-controlled-energy-sources
2025-07-09,Presidential Document,Executive Office of the President,국립공원을 개선하여 미국을 다시 아름답게 만들기,Making America Beautiful Again by Improving Our National Parks,https://www.federalregister.gov/documents/2025/07/09/2025-12775/making-america-beautiful-again-by-improving-our-national-parks
2025-07-09,Presidential Document,Executive Office of the President,대통령의 미국을 다시 아름답게 만들기 위원회 설립,Establishing the President's Make America Beautiful Again Commission,https://www.federalregister.gov/documents/2025/07/09/2025-12774/establishing-the-presidents-make-america-beautiful-again-commission
2025-07-08,Presidential Document,Executive Office of the President,"미국 비밀경호국 창설 160주년, 2025년","160th Anniversary of the United States Secret Service, 2025",https://www.federalregister.gov/documents/2025/07/08/2025-12731/160th-anniversary-of-the-united-states-secret-service-2025
2025-07-03,Presidential Document,Executive Office of the President,시리아 제재 철회 제공,Providing for the Revocation of Syria Sanctions,https://www.federalregister.gov/documents/2025/07/03/2025-12506/providing-for-the-revocation-of-syria-sanctions
2025-07-03,Presidential Document,Executive Office of the President,특별 평화 임무를 위한 백악관 사무실 설립,Establishing a White House Office for Special Peace Missions,https://www.federalregister.gov/documents/2025/07/03/2025-12505/establishing-a-white-house-office-for-special-peace-missions
2025-06-24,Presidential Document,Executive Office of the President,TikTok 시행 지연 추가 연장,Further Extending the TikTok Enforcement Delay,https://www.federalregister.gov/documents/2025/06/24/2025-11682/further-extending-the-tiktok-enforcement-delay
2025-06-23,Presidential Document,Executive Office of the President,벙커힐 전투 250주년,250th Anniversary of the Battle of Bunker Hill,https://www.federalregister.gov/documents/2025/06/23/2025-11555/250th-anniversary-of-the-battle-of-bunker-hill
2025-06-23,Presidential Document,Executive Office of the President,미국-영국 경제 번영 협정의 일반 조건 이행,Implementing the General Terms of the United States of America-United Kingdom Economic Prosperity Deal,https://www.federalregister.gov/documents/2025/06/23/2025-11473/implementing-the-general-terms-of-the-united-states-of-america-united-kingdom-economic-prosperity
2025-06-18,Presidential Document,Executive Office of the President,2025년 아버지날,"Father's Day, 2025",https://www.federalregister.gov/documents/2025/06/18/2025-11363/fathers-day-2025
2025-06-18,Presidential Document,Executive Office of the President,미 육군 창설 250주년,250th Anniversary of the Founding of the United States Army,https://www.federalregister.gov/documents/2025/06/18/2025-11362/250th-anniversary-of-the-founding-of-the-united-states-army
2025-06-18,Presidential Document,Executive Office of the President,"국기의 날 및 국기 주간, 2025","Flag Day and National Flag Week, 2025",https://www.federalregister.gov/documents/2025/06/18/2025-11361/flag-day-and-national-flag-week-2025
2025-06-18,Presidential Document,Executive Office of the President,상식적인 산불 예방 및 대응 역량 강화,Empowering Commonsense Wildfire Prevention and Response,https://www.federalregister.gov/documents/2025/06/18/2025-11358/empowering-commonsense-wildfire-prevention-and-response
2025-06-11,Presidential Document,Executive Office of the President,미국의 드론 지배력 해방,Unleashing American Drone Dominance,https://www.federalregister.gov/documents/2025/06/11/2025-10814/unleashing-american-drone-dominance
2025-06-11,Presidential Document,Executive Office of the President,국가의 사이버 보안을 강화하기 위한 선별적인 노력을 지속하고 행정 명령 13694 및 행정 명령 14144를 개정합니다.,Sustaining Select Efforts To Strengthen the Nation's Cybersecurity and Amending Executive Order 13694 and Executive Order 14144,https://www.federalregister.gov/documents/2025/06/11/2025-10804/sustaining-select-efforts-to-strengthen-the-nations-cybersecurity-and-amending-executive-order-13694
2025-06-11,Presidential Document,Executive Office of the President,미국 영공 주권 회복,Restoring American Airspace Sovereignty,https://www.federalregister.gov/documents/2025/06/11/2025-10803/restoring-american-airspace-sovereignty
2025-06-11,Presidential Document,Executive Office of the President,초음속 비행으로 세계를 선도하다,Leading the World in Supersonic Flight,https://www.federalregister.gov/documents/2025/06/11/2025-10800/leading-the-world-in-supersonic-flight
2025-06-11,Presidential Document,Executive Office of the President,2025년 전국 해양의 달,"National Ocean Month, 2025",https://www.federalregister.gov/documents/2025/06/11/2025-10790/national-ocean-month-2025
2025-06-10,Presidential Document,Executive Office of the President,외국 테러리스트 및 기타 국가 안보 및 공공 안전 위협으로부터 미국을 보호하기 위해 외국인 입국 제한,Restricting the Entry of Foreign Nationals To Protect the United States From Foreign Terrorists and Other National Security and Public Safety Threats,https://www.federalregister.gov/documents/2025/06/10/2025-10669/restricting-the-entry-of-foreign-nationals-to-protect-the-united-states-from-foreign-terrorists-and
2025-06-10,Presidential Document,Executive Office of the President,하버드 대학교에서 위험을 해결하여 국가 안보 강화,Enhancing National Security by Addressing Risks at Harvard University,https://www.federalregister.gov/documents/2025/06/10/2025-10668/enhancing-national-security-by-addressing-risks-at-harvard-university
2025-06-09,Presidential Document,Executive Office of the President,미국으로의 알루미늄 및 철강 수입 조정,Adjusting Imports of Aluminum and Steel Into the United States,https://www.federalregister.gov/documents/2025/06/09/2025-10524/adjusting-imports-of-aluminum-and-steel-into-the-united-states
2025-06-04,Presidential Document,Executive Office of the President,통합지휘계획 변경,Unified Command Plan Change,https://www.federalregister.gov/documents/2025/06/04/2025-10323/unified-command-plan-change
2025-06-04,Presidential Document,Executive Office of the President,1950년 국방물자생산법(Defense Production Act) 303항: 군수품 및 광물 제조 및 방위 산업 기반 부활에 따른 대통령의 법적 요건 면제,Presidential Waiver of Statutory Requirements Pursuant to Section 303 of the Defense Production Act of 1950: Reviving the Manufacturing and Defense Industrial Base for Munitions and Minerals,https://www.federalregister.gov/documents/2025/06/04/2025-10322/presidential-waiver-of-statutory-requirements-pursuant-to-section-303-of-the-defense-production-act
2025-06-02,Presidential Document,Executive Office of the President,미국 국경순찰대 101주년,101st Anniversary of the United States Border Patrol,https://www.federalregister.gov/documents/2025/06/02/2025-10070/101st-anniversary-of-the-united-states-border-patrol
2025-05-29,Presidential Document,Executive Office of the President,"평화를 위한 기도, 현충일, 2025","Prayer for Peace, Memorial Day, 2025",https://www.federalregister.gov/documents/2025/05/29/2025-09875/prayer-for-peace-memorial-day-2025
2025-05-29,Presidential Document,Executive Office of the President,2025년 세계 무역 주간,"World Trade Week, 2025",https://www.federalregister.gov/documents/2025/05/29/2025-09874/world-trade-week-2025
2025-05-29,Presidential Document,Executive Office of the President,2025년 전국 체력 및 스포츠의 달,"National Physical Fitness and Sports Month, 2025",https://www.federalregister.gov/documents/2025/05/29/2025-09873/national-physical-fitness-and-sports-month-2025
2025-05-29,Presidential Document,Executive Office of the President,2012 회계연도 국방수권법 1245(d)(4)(B) 및 (C)항에 따른 대통령 결정,Presidential Determination Pursuant to Section 1245(d)(4)(B) and (C) of the National Defense Authorization Act for Fiscal Year 2012,https://www.federalregister.gov/documents/2025/05/29/2025-09872/presidential-determination-pursuant-to-section-1245d4b-and-c-of-the-national-defense-authorization
2025-05-29,Presidential Document,Executive Office of the President,표준 과학 복원,Restoring Gold Standard Science,https://www.federalregister.gov/documents/2025/05/29/2025-09802/restoring-gold-standard-science
2025-05-29,Presidential Document,Executive Office of the President,원자력 산업기반 활성화,Reinvigorating the Nuclear Industrial Base,https://www.federalregister.gov/documents/2025/05/29/2025-09801/reinvigorating-the-nuclear-industrial-base
2025-05-29,Presidential Document,Executive Office of the President,에너지부의 원자로 테스트 개혁,Reforming Nuclear Reactor Testing at the Department of Energy,https://www.federalregister.gov/documents/2025/05/29/2025-09799/reforming-nuclear-reactor-testing-at-the-department-of-energy
2025-05-29,Presidential Document,Executive Office of the President,원자력규제위원회 개혁 명령,Ordering the Reform of the Nuclear Regulatory Commission,https://www.federalregister.gov/documents/2025/05/29/2025-09798/ordering-the-reform-of-the-nuclear-regulatory-commission
2025-05-29,Presidential Document,Executive Office of the President,국가 안보를 위한 첨단 원자로 기술 배포,Deploying Advanced Nuclear Reactor Technologies for National Security,https://www.federalregister.gov/documents/2025/05/29/2025-09796/deploying-advanced-nuclear-reactor-technologies-for-national-security
2025-05-28,Presidential Document,Executive Office of the President,2025년 국립 해양의 날,"National Maritime Day, 2025",https://www.federalregister.gov/documents/2025/05/28/2025-09785/national-maritime-day-2025
2025-05-22,Presidential Document,Executive Office of the President,"국군의 날, 2025","Armed Forces Day, 2025",https://www.federalregister.gov/documents/2025/05/22/2025-09341/armed-forces-day-2025
2025-05-22,Presidential Document,Executive Office of the President,2025년 미국 유대인 문화유산의 달,"Jewish American Heritage Month, 2025",https://www.federalregister.gov/documents/2025/05/22/2025-09338/jewish-american-heritage-month-2025
2025-05-22,Presidential Document,Executive Office of the President,2025년 아시아계 미국인 및 태평양 섬주민 문화유산의 달,"Asian American and Pacific Islander Heritage Month, 2025",https://www.federalregister.gov/documents/2025/05/22/2025-09337/asian-american-and-pacific-islander-heritage-month-2025
2025-05-21,Presidential Document,Executive Office of the President,중화인민공화국과의 논의를 반영하여 상호 관세율 수정,Modifying Reciprocal Tariff Rates To Reflect Discussions With the People's Republic of China,https://www.federalregister.gov/documents/2025/05/21/2025-09297/modifying-reciprocal-tariff-rates-to-reflect-discussions-with-the-peoples-republic-of-china
2025-05-21,Presidential Document,Executive Office of the President,2025년 평화 장교 현충일 및 경찰 주간,"Peace Officers Memorial Day and Police Week, 2025",https://www.federalregister.gov/documents/2025/05/21/2025-09229/peace-officers-memorial-day-and-police-week-2025
2025-05-15,Presidential Document,Executive Office of the President,미국 환자에게 최혜국 처방약 가격 제공,Delivering Most-Favored-Nation Prescription Drug Pricing to American Patients,https://www.federalregister.gov/documents/2025/05/15/2025-08876/delivering-most-favored-nation-prescription-drug-pricing-to-american-patients
2025-05-14,Presidential Document,Executive Office of the President,퇴역군인과의 약속을 지키고 전사자립을 위한 국립센터를 설립합니다.,Keeping Promises to Veterans and Establishing a National Center for Warrior Independence,https://www.federalregister.gov/documents/2025/05/14/2025-08683/keeping-promises-to-veterans-and-establishing-a-national-center-for-warrior-independence
2025-05-14,Presidential Document,Executive Office of the President,연방등록청의 효율성 향상,Increasing Efficiency at the Office of the Federal Register,https://www.federalregister.gov/documents/2025/05/14/2025-08682/increasing-efficiency-at-the-office-of-the-federal-register
2025-05-14,Presidential Document,Executive Office of the President,연방 규정의 과잉범죄화에 맞서 싸우기,Fighting Overcriminalization in Federal Regulations,https://www.federalregister.gov/documents/2025/05/14/2025-08681/fighting-overcriminalization-in-federal-regulations
2025-05-14,Presidential Document,Executive Office of the President,2025년 어머니날,"Mother's Day, 2025",https://www.federalregister.gov/documents/2025/05/14/2025-08680/mothers-day-2025
2025-05-14,Presidential Document,Executive Office of the President,2025년 군인 배우자의 날,"Military Spouse Day, 2025",https://www.federalregister.gov/documents/2025/05/14/2025-08679/military-spouse-day-2025
2025-05-14,Presidential Document,Executive Office of the President,프로젝트 홈커밍 설립,Establishing Project Homecoming,https://www.federalregister.gov/documents/2025/05/14/2025-08673/establishing-project-homecoming
2025-05-12,Presidential Document,Executive Office of the President,2025년 제2차 세계 대전 승전 기념일,"Victory Day for World War II, 2025",https://www.federalregister.gov/documents/2025/05/12/2025-08488/victory-day-for-world-war-ii-2025
2025-05-12,Presidential Document,Executive Office of the President,2025년 전국 위탁 양육의 달,"National Foster Care Month, 2025",https://www.federalregister.gov/documents/2025/05/12/2025-08487/national-foster-care-month-2025
2025-05-08,Presidential Document,Executive Office of the President,중요 의약품의 국내 생산을 촉진하기 위한 규제 완화,Regulatory Relief To Promote Domestic Production of Critical Medicines,https://www.federalregister.gov/documents/2025/05/08/2025-08267/regulatory-relief-to-promote-domestic-production-of-critical-medicines
2025-05-08,Presidential Document,Executive Office of the President,생물학 연구의 안전 및 보안 개선,Improving the Safety and Security of Biological Research,https://www.federalregister.gov/documents/2025/05/08/2025-08266/improving-the-safety-and-security-of-biological-research
2025-05-08,Presidential Document,Executive Office of the President,2025년 전국 중소기업 주간,"National Small Business Week, 2025",https://www.federalregister.gov/documents/2025/05/08/2025-08265/national-small-business-week-2025
2025-05-08,Presidential Document,Executive Office of the President,2025년 전국 허리케인 대비 주간,"National Hurricane Preparedness Week, 2025",https://www.federalregister.gov/documents/2025/05/08/2025-08264/national-hurricane-preparedness-week-2025
2025-05-08,Presidential Document,Executive Office of the President,2025년 전국 정신 건강 인식의 달,"National Mental Health Awareness Month, 2025",https://www.federalregister.gov/documents/2025/05/08/2025-08263/national-mental-health-awareness-month-2025
2025-05-07,Presidential Document,Executive Office of the President,종교자유위원회 설립,Establishment of the Religious Liberty Commission,https://www.federalregister.gov/documents/2025/05/07/2025-08134/establishment-of-the-religious-liberty-commission
2025-05-07,Presidential Document,Executive Office of the President,편향된 미디어에 대한 납세자 보조금 종료,Ending Taxpayer Subsidization of Biased Media,https://www.federalregister.gov/documents/2025/05/07/2025-08133/ending-taxpayer-subsidization-of-biased-media
2025-05-07,Presidential Document,Executive Office of the President,2025년 국가 기도의 날,"National Day of Prayer, 2025",https://www.federalregister.gov/documents/2025/05/07/2025-08132/national-day-of-prayer-2025
2025-05-07,Presidential Document,Executive Office of the President,2025년 미국 충성의 날 및 법의 날,"Loyalty Day and Law Day, U.S.A., 2025",https://www.federalregister.gov/documents/2025/05/07/2025-08131/loyalty-day-and-law-day-usa-2025
2025-05-07,Presidential Document,Executive Office of the President,2025년 전국 순직 소방관 추모 주말,"National Fallen Firefighters Memorial Weekend, 2025",https://www.federalregister.gov/documents/2025/05/07/2025-08130/national-fallen-firefighters-memorial-weekend-2025
2025-05-02,Presidential Document,Executive Office of the President,수입품에 대한 특정 관세 처리,Addressing Certain Tariffs on Imported Articles,https://www.federalregister.gov/documents/2025/05/02/2025-07835/addressing-certain-tariffs-on-imported-articles
2025-05-02,Presidential Document,Executive Office of the President,최초의 상륙과 케이프 헨리 크로스의 융기 418주년,418th Anniversary of the First Landing and the Raising of the Cape Henry Cross,https://www.federalregister.gov/documents/2025/05/02/2025-07834/418th-anniversary-of-the-first-landing-and-the-raising-of-the-cape-henry-cross
2025-05-02,Presidential Document,Executive Office of the President,미국으로의 자동차 및 자동차 부품 수입 조정에 관한 개정안,Amendments to Adjusting Imports of Automobiles and Automobile Parts Into the United States,https://www.federalregister.gov/documents/2025/05/02/2025-07833/amendments-to-adjusting-imports-of-automobiles-and-automobile-parts-into-the-united-states
2025-05-02,Presidential Document,Executive Office of the President,범죄자를 추적하고 무고한 시민을 보호하기 위해 미국의 법 집행을 강화하고 해방합니다.,Strengthening and Unleashing America's Law Enforcement To Pursue Criminals and Protect Innocent Citizens,https://www.federalregister.gov/documents/2025/05/02/2025-07790/strengthening-and-unleashing-americas-law-enforcement-to-pursue-criminals-and-protect-innocent
2025-05-02,Presidential Document,Executive Office of the President,범죄 외국인으로부터 미국 지역사회 보호,Protecting American Communities From Criminal Aliens,https://www.federalregister.gov/documents/2025/05/02/2025-07789/protecting-american-communities-from-criminal-aliens
2025-05-02,Presidential Document,Executive Office of the President,미국의 트럭 운전자를 위한 상식적인 도로 규칙 시행,Enforcing Commonsense Rules of the Road for America's Truck Drivers,https://www.federalregister.gov/documents/2025/05/02/2025-07786/enforcing-commonsense-rules-of-the-road-for-americas-truck-drivers
2025-04-30,Presidential Document,Executive Office of the President,2025년 세계 지적재산권의 날,"World Intellectual Property Day, 2025",https://www.federalregister.gov/documents/2025/04/30/2025-07570/world-intellectual-property-day-2025
2025-04-29,Presidential Document,Executive Office of the President,미국의 해양 중요 광물 및 자원 활용,Unleashing America's Offshore Critical Minerals and Resources,https://www.federalregister.gov/documents/2025/04/29/2025-07470/unleashing-americas-offshore-critical-minerals-and-resources
2025-04-29,Presidential Document,Executive Office of the President,연방 서비스의 수습 기간 강화,Strengthening Probationary Periods in the Federal Service,https://www.federalregister.gov/documents/2025/04/29/2025-07469/strengthening-probationary-periods-in-the-federal-service
2025-04-28,Presidential Document,Executive Office of the President,역사적으로 흑인 대학의 우수성과 혁신을 촉진하기 위한 백악관 이니셔티브,White House Initiative To Promote Excellence and Innovation at Historically Black Colleges and Universities,https://www.federalregister.gov/documents/2025/04/28/2025-07380/white-house-initiative-to-promote-excellence-and-innovation-at-historically-black-colleges-and
2025-04-28,Presidential Document,Executive Office of the President,미국 대학의 외국 영향력에 관한 투명성,Transparency Regarding Foreign Influence at American Universities,https://www.federalregister.gov/documents/2025/04/28/2025-07379/transparency-regarding-foreign-influence-at-american-universities
2025-04-28,Presidential Document,Executive Office of the President,기회의 평등과 능력주의 회복,Restoring Equality of Opportunity and Meritocracy,https://www.federalregister.gov/documents/2025/04/28/2025-07378/restoring-equality-of-opportunity-and-meritocracy
2025-04-28,Presidential Document,Executive Office of the President,상식적인 학교 징계 정책 복원,Reinstating Commonsense School Discipline Policies,https://www.federalregister.gov/documents/2025/04/28/2025-07377/reinstating-commonsense-school-discipline-policies
2025-04-28,Presidential Document,Executive Office of the President,고등교육 강화를 위한 인증 개혁,Reforming Accreditation To Strengthen Higher Education,https://www.federalregister.gov/documents/2025/04/28/2025-07376/reforming-accreditation-to-strengthen-higher-education
2025-04-28,Presidential Document,Executive Office of the President,미래의 고임금 숙련 무역 일자리를 위해 미국인을 준비시키세요,Preparing Americans for High-Paying Skilled Trade Jobs of the Future,https://www.federalregister.gov/documents/2025/04/28/2025-07369/preparing-americans-for-high-paying-skilled-trade-jobs-of-the-future
2025-04-28,Presidential Document,Executive Office of the President,미국 청소년을 위한 인공지능 교육 발전,Advancing Artificial Intelligence Education for American Youth,https://www.federalregister.gov/documents/2025/04/28/2025-07368/advancing-artificial-intelligence-education-for-american-youth
2025-04-28,Presidential Document,Executive Office of the President,2025년 전국 자원봉사 주간,"National Volunteer Week, 2025",https://www.federalregister.gov/documents/2025/04/28/2025-07367/national-volunteer-week-2025
2025-04-28,Presidential Document,Executive Office of the President,"홀로코스트 희생자 추모일, 2025년","Days of Remembrance of Victims of the Holocaust, 2025",https://www.federalregister.gov/documents/2025/04/28/2025-07366/days-of-remembrance-of-victims-of-the-holocaust-2025
2025-04-28,Presidential Document,Executive Office of the President,2025년 국립공원 주간,"National Park Week, 2025",https://www.federalregister.gov/documents/2025/04/28/2025-07365/national-park-week-2025
2025-04-24,Presidential Document,Executive Office of the President,프란치스코 교황 성하를 추모하며,Honoring the Memory of His Holiness Pope Francis,https://www.federalregister.gov/documents/2025/04/24/2025-07239/honoring-the-memory-of-his-holiness-pope-francis
2025-04-22,Presidential Document,Executive Office of the President,미국 해산물 경쟁력 회복,Restoring American Seafood Competitiveness,https://www.federalregister.gov/documents/2025/04/22/2025-07062/restoring-american-seafood-competitiveness
2025-04-22,Presidential Document,Executive Office of the President,렉싱턴-콩코드 전투 250주년,250th Anniversary of the Battles of Lexington and Concord,https://www.federalregister.gov/documents/2025/04/22/2025-07061/250th-anniversary-of-the-battles-of-lexington-and-concord
2025-04-22,Presidential Document,Executive Office of the President,태평양에서 미국의 상업 어업을 펼치다,Unleashing American Commercial Fishing in the Pacific,https://www.federalregister.gov/documents/2025/04/22/2025-07060/unleashing-american-commercial-fishing-in-the-pacific
2025-04-22,Presidential Document,Executive Office of the President,2025년 전국 전 전쟁포로 표창의 날,"National Former Prisoner of War Recognition Day, 2025",https://www.federalregister.gov/documents/2025/04/22/2025-06962/national-former-prisoner-of-war-recognition-day-2025
2025-04-22,Presidential Document,Executive Office of the President,2025년 미국 교육나눔의 날,"Education and Sharing Day, U.S.A., 2025",https://www.federalregister.gov/documents/2025/04/22/2025-06961/education-and-sharing-day-usa-2025
2025-04-22,Presidential Document,Executive Office of the President,2025년 전국 범죄 피해자 권리 주간,"National Crime Victims' Rights Week, 2025",https://www.federalregister.gov/documents/2025/04/22/2025-06960/national-crime-victims-rights-week-2025
2025-04-21,Presidential Document,Executive Office of the President,미국 에너지 증진을 위한 특정 고정 에너지원에 대한 규제 완화,Regulatory Relief for Certain Stationary Sources To Promote American Energy,https://www.federalregister.gov/documents/2025/04/21/2025-06936/regulatory-relief-for-certain-stationary-sources-to-promote-american-energy
2025-04-18,Presidential Document,Executive Office of the President,불법 외국인이 사회 보장법 혜택을 받는 것을 방지,Preventing Illegal Aliens From Obtaining Social Security Act Benefits,https://www.federalregister.gov/documents/2025/04/18/2025-06840/preventing-illegal-aliens-from-obtaining-social-security-act-benefits
2025-04-18,Presidential Document,Executive Office of the President,연방 조달에 대한 상식 복원,Restoring Common Sense to Federal Procurement,https://www.federalregister.gov/documents/2025/04/18/2025-06839/restoring-common-sense-to-federal-procurement
2025-04-18,Presidential Document,Executive Office of the President,연방 사무실 공간 관리에 대한 상식 복원,Restoring Common Sense to Federal Office Space Management,https://www.federalregister.gov/documents/2025/04/18/2025-06838/restoring-common-sense-to-federal-office-space-management
2025-04-18,Presidential Document,Executive Office of the President,다시 한번 미국인을 최우선으로 생각하여 약가 인하,Lowering Drug Prices by Once Again Putting Americans First,https://www.federalregister.gov/documents/2025/04/18/2025-06837/lowering-drug-prices-by-once-again-putting-americans-first
2025-04-18,Presidential Document,Executive Office of the President,가공된 중요 광물 및 파생 제품에 대한 232조 조치를 통해 국가 안보 및 경제적 회복력 보장,Ensuring National Security and Economic Resilience Through Section 232 Actions on Processed Critical Minerals and Derivative Products,https://www.federalregister.gov/documents/2025/04/18/2025-06836/ensuring-national-security-and-economic-resilience-through-section-232-actions-on-processed-critical
2025-04-18,Presidential Document,Executive Office of the President,연방 계약에서 상업적이고 비용 효율적인 솔루션 보장,"Ensuring Commercial, Cost-Effective Solutions in Federal Contracts",https://www.federalregister.gov/documents/2025/04/18/2025-06835/ensuring-commercial-cost-effective-solutions-in-federal-contracts
2025-04-15,Presidential Document,Executive Office of the President,미국 에너지를 활성화하기 위한 제로 기반 규제 예산,Zero-Based Regulatory Budgeting To Unleash American Energy,https://www.federalregister.gov/documents/2025/04/15/2025-06466/zero-based-regulatory-budgeting-to-unleash-american-energy
2025-04-15,Presidential Document,Executive Office of the President,미국의 해양 지배력 회복,Restoring America's Maritime Dominance,https://www.federalregister.gov/documents/2025/04/15/2025-06465/restoring-americas-maritime-dominance
2025-04-15,Presidential Document,Executive Office of the President,속도와 책임성 향상을 위한 해외 방산 판매 개혁,Reforming Foreign Defense Sales To Improve Speed and Accountability,https://www.federalregister.gov/documents/2025/04/15/2025-06464/reforming-foreign-defense-sales-to-improve-speed-and-accountability
2025-04-15,Presidential Document,Executive Office of the President,반경쟁 규제 장벽 완화,Reducing Anti-Competitive Regulatory Barriers,https://www.federalregister.gov/documents/2025/04/15/2025-06463/reducing-anti-competitive-regulatory-barriers
2025-04-15,Presidential Document,Executive Office of the President,거래 파트너의 보복 및 조정을 반영하기 위해 상호 관세율 수정,Modifying Reciprocal Tariff Rates To Reflect Trading Partner Retaliation and Alignment,https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment
2025-04-15,Presidential Document,Executive Office of the President,방위산업 현대화 및 방위산업 기반 혁신 촉진,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,https://www.federalregister.gov/documents/2025/04/15/2025-06461/modernizing-defense-acquisitions-and-spurring-innovation-in-the-defense-industrial-base
2025-04-15,Presidential Document,Executive Office of the President,샤워헤드의 허용 수압 유지,Maintaining Acceptable Water Pressure in Showerheads,https://www.federalregister.gov/documents/2025/04/15/2025-06459/maintaining-acceptable-water-pressure-in-showerheads
2025-04-15,Presidential Document,Executive Office of the President,Susman Godfrey의 위험 해결,Addressing Risks From Susman Godfrey,https://www.federalregister.gov/documents/2025/04/15/2025-06458/addressing-risks-from-susman-godfrey
2025-04-14,Presidential Document,Executive Office of the President,미국 전력망의 신뢰성과 보안 강화,Strengthening the Reliability and Security of the United States Electric Grid,https://www.federalregister.gov/documents/2025/04/14/2025-06381/strengthening-the-reliability-and-security-of-the-united-states-electric-grid
2025-04-14,Presidential Document,Executive Office of the President,미국의 아름다운 청정 석탄 산업 활성화 및 행정 명령 14241 개정,Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,https://www.federalregister.gov/documents/2025/04/14/2025-06380/reinvigorating-americas-beautiful-clean-coal-industry-and-amending-executive-order-14241
2025-04-14,Presidential Document,Executive Office of the President,국가의 과잉 접근으로부터 미국 에너지 보호,Protecting American Energy From State Overreach,https://www.federalregister.gov/documents/2025/04/14/2025-06379/protecting-american-energy-from-state-overreach
2025-04-14,Presidential Document,Executive Office of the President,중화인민공화국으로부터의 저가 수입품에 적용되는 상호 관세 및 업데이트된 관세에 대한 개정,Amendment to Reciprocal Tariffs and Updated Duties as Applied to Low-Value Imports From the People's Republic of China,https://www.federalregister.gov/documents/2025/04/14/2025-06378/amendment-to-reciprocal-tariffs-and-updated-duties-as-applied-to-low-value-imports-from-the-peoples
2025-04-09,Presidential Document,Executive Office of the President,TikTok 시행 지연 연장,Extending the TikTok Enforcement Delay,https://www.federalregister.gov/documents/2025/04/09/2025-06162/extending-the-tiktok-enforcement-delay
2025-04-09,Presidential Document,Executive Office of the President,2025년 전국 성폭행 ​​인식 및 예방의 달,"National Sexual Assault Awareness and Prevention Month, 2025",https://www.federalregister.gov/documents/2025/04/09/2025-06161/national-sexual-assault-awareness-and-prevention-month-2025
2025-04-09,Presidential Document,Executive Office of the President,2025년 전국 생명 기증의 달,"National Donate Life Month, 2025",https://www.federalregister.gov/documents/2025/04/09/2025-06160/national-donate-life-month-2025
2025-04-09,Presidential Document,Executive Office of the President,2025년 전국 아동 학대 예방의 달,"National Child Abuse Prevention Month, 2025",https://www.federalregister.gov/documents/2025/04/09/2025-06159/national-child-abuse-prevention-month-2025
2025-04-09,Presidential Document,Executive Office of the President,2025년 암 통제의 달,"Cancer Control Month, 2025",https://www.federalregister.gov/documents/2025/04/09/2025-06158/cancer-control-month-2025
2025-04-07,Presidential Document,Executive Office of the President,크고 지속적인 연간 미국 상품 무역 적자를 초래하는 무역 관행을 바로잡기 위해 상호 관세로 수입을 규제합니다.,Regulating Imports With a Reciprocal Tariff To Rectify Trade Practices That Contribute to Large and Persistent Annual United States Goods Trade Deficits,https://www.federalregister.gov/documents/2025/04/07/2025-06063/regulating-imports-with-a-reciprocal-tariff-to-rectify-trade-practices-that-contribute-to-large-and
